super_opeid,name,type,tier,tier_name,state,czname,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top1pc,k_rank,k_median,k_q1,k_q2,k_q3,k_q4,k_q5,k_top1pc,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5
2728,Hamilton College,2,2,Other elite schools (public and private),NY,Syracuse,164600,0.810083465,0.038505599,0.051822692,0.082808569,0.15469781,0.67216539,0.12935546,0.72578424,60300,0.087373525,0.080916345,0.086327314,0.19944517,0.54593766,0.097587794,0.072852977,0.074163407,0.10257417,0.1525915,0.5978179,0.068685092,0.1180674,0.14983362,0.17862561,0.48478824,0.073408172,0.056777526,0.1462758,0.24732882,0.4762097,0.11143219,0.08512383,0.077118218,0.25606483,0.47026089,0.085829608,0.080444388,0.075234376,0.18480434,0.5736872,0.041298207,0.046275657,0.099284522,0.053367376,0.11473668
2354,Hamline University,2,6,Selective private,MN,Minneapolis,94300,0.680207301,0.046895918,0.10644486,0.18325879,0.29222944,0.37117094,0.01624939,0.6560505,47600,0.083354287,0.095263675,0.15886943,0.3044281,0.3580845,0.008669253,0.1102185,0.10718877,0.22903848,0.23481034,0.31874394,0.089298002,0.10359122,0.22093865,0.32347074,0.26270139,0.076268986,0.076658003,0.17863235,0.36896998,0.29947069,0.070654951,0.085341439,0.14179468,0.2902177,0.41199127,0.091752209,0.10836697,0.13588929,0.28708476,0.37690681,0.001063218,0.000327533,0.004978011,0.008515055,0.013966379
3713,Hampden Sydney College,2,6,Selective private,VA,South Boston,141200,0.793553524,0.016432583,0.065041251,0.11054303,0.1602326,0.64775056,0.078939587,0.72805804,59900,0.065275423,0.07048513,0.110321,0.21265373,0.54126477,0.054037094,0.079799585,0.070324369,0.043776881,0.41288003,0.39321911,0.038295384,0.11152577,0.071808763,0.30119827,0.47717184,0.072028339,0.088249244,0.14252862,0.27064136,0.4265525,0.030042341,0.057666712,0.14157206,0.2187684,0.55195051,0.075179152,0.066507578,0.10264923,0.18727484,0.56838924,0.060698383,0.021874027,0.022729965,0.007859331,0.07386329
4661,Hampshire College,2,4,Highly selective private,MA,Springfield,119300,0.72355126,0.057154361,0.10661892,0.13214789,0.17757855,0.52650028,0.081500396,0.53371233,31200,0.14102262,0.20590535,0.2090067,0.22443359,0.21963173,0.015453354,0.15922333,0.22139117,0.24034177,0.24927728,0.12976642,0.1418626,0.25330156,0.13733254,0.23294531,0.23455802,0.16455853,0.22342806,0.14488317,0.24955215,0.21757813,0.1455165,0.17941222,0.29382727,0.17137712,0.20986684,0.13145368,0.19916385,0.20760567,0.23160335,0.23017338,0.018128727,0,0.000793172,0,0.027184034
3714,Hampton University,2,6,Selective private,VA,Newport News,79500,0.616413285,0.07955189,0.16146532,0.2162021,0.22676349,0.31601724,0.006085634,0.65327257,45900,0.080038071,0.12172654,0.15421347,0.2686964,0.37532553,0.009444244,0.105933,0.13971649,0.17481185,0.3106178,0.26892084,0.082721561,0.14451177,0.16202223,0.26787335,0.34287113,0.087900773,0.12174155,0.16062364,0.2911768,0.33855724,0.068723679,0.11922047,0.16153012,0.23504373,0.41548193,0.074887961,0.10734403,0.13540269,0.26733208,0.41503325,0.00473132,0.004013998,0.00791835,0.011148654,0.013226069
9089,Hannibal - Lagrange University,2,6,Selective private,MO,Quincy,71800,0.564886519,0.058400009,0.18372151,0.27051258,0.31227112,0.17509484,0,0.52344412,30600,0.13476044,0.18924195,0.2668654,0.23927656,0.1698557,0.004113518,0.17790255,0.27460942,0.18913946,0.13647,0.22187859,0.12690733,0.2012123,0.37130016,0.14382754,0.15675263,0.13463117,0.22069089,0.24535306,0.2710813,0.12824355,0.11810485,0.1585544,0.26896003,0.2975027,0.15687793,0.15851498,0.15435119,0.21270919,0.22073805,0.25368658,0,0.022389965,0,0,0
1801,Hanover College,2,6,Selective private,IN,Madison,107800,0.743936924,0.025576184,0.063675366,0.13675818,0.27583727,0.49815309,0.01931932,0.65755254,46300,0.071922295,0.10410617,0.15692306,0.29461169,0.37243685,0.021309245,0.24836537,0.16015197,0.14145742,0.28433672,0.16568851,0.017952854,0.083119512,0.21251979,0.38226056,0.30414727,0.052266892,0.14260778,0.20475455,0.26967946,0.33069134,0.091629788,0.097178861,0.14670104,0.32683039,0.33765998,0.06424544,0.09717714,0.14313948,0.27294022,0.42249769,0.007204641,0,0.008654711,0.022418236,0.027617196
3272,Harcum College,2,9,Two-year (public and private not-for-profit),PA,Philadelphia,81800,0.612577457,0.093483724,0.16758917,0.16850485,0.3363404,0.23408189,0.027886612,0.54081583,31200,0.1022065,0.19557333,0.262449,0.31231174,0.12745947,0.001791187,0.1404938,0.33311793,0.14741667,0.33279338,0.046178311,0.089710906,0.30933741,0.31936112,0.18391231,0.097678266,0.067868367,0.21128695,0.30158031,0.24996851,0.16929582,0.065159306,0.16468981,0.23065463,0.38977709,0.14971915,0.17381176,0.092257962,0.28515771,0.3296307,0.11914185,0.00066344,0.000369486,0.000863415,0.000864052,0.005259439
3571,Hardin-Simmons University,2,6,Selective private,TX,Abilene,91700,0.653156111,0.059579693,0.11041516,0.19777516,0.27836987,0.3538602,0.008945958,0.60332167,41600,0.1232129,0.13570145,0.14747846,0.2774277,0.31617954,0.01596139,0.11881117,0.1396188,0.16257192,0.34635887,0.23263928,0.1322678,0.17874809,0.16838706,0.22596411,0.29463297,0.1349844,0.13131319,0.16049437,0.27207014,0.30113783,0.10913364,0.12881427,0.15752737,0.28856054,0.31596419,0.12562509,0.12948053,0.12323318,0.27611643,0.34554476,0.008094814,0.009867756,0.024472594,0.009236215,0.019720778
1097,Harding University,2,6,Selective private,AR,Searcy,98200,0.692194064,0.039980922,0.095733449,0.18137567,0.29024222,0.39266777,0.01286331,0.59098089,41400,0.14678824,0.12939185,0.16251975,0.26069772,0.3006025,0.009551299,0.1776087,0.13858913,0.25359654,0.24353698,0.18666862,0.14053072,0.13153291,0.21085714,0.23640896,0.28067029,0.1387936,0.14595196,0.16886422,0.2747876,0.2716026,0.14339258,0.13532193,0.1610647,0.26206043,0.29816034,0.15137844,0.11590094,0.13960655,0.26085117,0.3322629,0.001070595,0.014086711,0.004017129,0.012159674,0.009937322
